Nom,Prix,Description,Isbn,Photo,Editeur,Auteur
L'investisseur intelligent: Une référence en matière d'investissement,39.9,"Un grand classique, annoté et commenté, de l'expérience boursière de Graham
Benjamin Graham, le plus grand financier du XXème siècle, a inspiré nombre d'investisseurs individuels et professionnels. Sa stratégie - l'investissement dans la valeur - permet de bâtir des stratégies de long terme et d'éviter des erreurs coûteuses. Ce livre est une bible depuis sa première édition en 1949.
Année après année, les soubresauts des marchés financiers ont démontré la sagesse et la pertinence des stratégies d'investissement de Graham. Tout en préservant l'intégralité du texte original, cette édition révisée inclut des commentaires du journaliste financier Jason Zweig, mettant en perspective le texte avec l'actualité financière et des annotations de Didier Coutton, professeur de finance, pour éclairer le lecteur sur la façon d'appliquer les principes de Graham.",978-2361170257,https://m.media-amazon.com/images/I/717uatG+cWL._SY522_.jpg,VALOR (1 novembre 2018),Jason Zweig
Traders : Entrez dans la zone,18.4,"Même les traders les plus intelligents, les plus motivés et qui dominent leur sujet peuvent être paralysés par des pensées contre-productives qui les incitent à prendre de mauvaises décisions et à commettre des erreurs de trading. Ils souffrent de leur incapacité à rester objectivement concentrés ou bien ils manquent de la confiance nécessaire pour exécuter leurs opérations correctement. Ou encore, ils tolèrent que des contradictions profondément enracinées et des idées erronées sur le trading ou la nature du marché influencent la sélection de leurs actions.
Aux yeux de Mark Douglas, la clé de la réussite réside dans l'optimisation de l'état d'esprit du trader. Non pas dans l'analyse du marché exhaustive ou dans le tout dernier ""système"" à la mode. Il apprend au trader à penser en termes de probabilités et à adopter les certitudes fondamentales nécessaires pour acquérir une ""mentalité de gagnant"". Les traders qui sont dans ""la zone"" n'ont pas besoin de savoir - et ils s'en moquent - ce que le marché va faire par la suite. Eux savent ce qu'ils vont faire. Et c'est ce qui fait toute la différence.",978-2909356389,https://m.media-amazon.com/images/I/71ltbh3gCWL._SY522_.jpg,VALOR (28 octobre 2004),Mark Douglas
"Devenez trader pro !: Bourse, Trading, Scalping, Day-Trading : le guide immersif 2.0",49.0,"Ce livre n'est pas un livre sur le trading et la bourse comme les autres ! Ecrit par un trader de référence, spécialisé dans le scalping et le day-trading depuis 10 ans, c'est le premier guide 2.0 immersif et évolutif. Il contient en effet, en plus d'un texte abondant, plus de 60 vidéos exclusives accessibles par QR code, dépassant les 10 heures de contenu pédagogique. Unique sur le marché ! Conçu comme le premier manuel d'apprentissage multimédia et évolutif sur le trading, vous disposez enfin des armes pour améliorer, optimiser et vous dépasser dans le trading. Vous apprendrez à bâtir votre méthode de trading personnelle afin de devenir un trader pro indépendant et capable de réaliser sa méthode de trading, son Money Management, ses règles de trading et son rituel de trader. Benoist Rousseau, trader en compte propre, dévoile aussi pour la première fois ses techniques de scalping et de day-trading. Ce manuel de trading est donc la clé d'accès à la partie privée du site Andil.com où vous retrouverez l'auteur dans des vidéos qui apporteront un prolongement aux chapitres de cet ouvrage majeur dans l'histoire du trading. Des mises à jour régulières du contenu de ce manuel de trading écrit par un trader, pour des traders amateurs, confirmés et professionnels, se feront dans cette partie privée du site, accessible uniquement aux lecteurs de ""Devenez Trader Pro !""",979-1091879668,https://m.media-amazon.com/images/I/71mYTUpiKvL._SY522_.jpg,Jdh Editions (16 mai 2019),Benoist Rousseau
La guerre des semi-conducteurs: Un conflit mondial pour une technologie vitale,23.0,"Le pouvoir dans le monde moderne - militaire, économique, géopolitique - repose sur les puces électroniques, appelées semi-conducteurs.
Aujourd’hui, tout fonctionne avec des puces : les voitures, les téléphones, la bourse et même le réseau électrique.
Si l'Amérique est restée une superpuissance, c’est parce qu'elle a dominé les progrès réalisés dans ce domaine et qu’elle en maîtrisé la conception.
Mais cet avantage risque de disparaître car l’Amérique a fait un mauvais choix stratégique en laissant des entreprises de Taïwan, de Corée et d'Europe prendre le contrôle de la fabrication des puces. Et si la Chine dépense encore aujourd’hui plus d’argent pour importer des puces que pour acheter du pétrole, elle a lancé un programme d’investissements gigantesque pour rattraper les États-Unis.
Chris Miller raconte la fascinante histoire des semi-conducteurs, comment des puces plus rapides ont contribué à la défaite de l'Union soviétique et pourquoi la bataille pour le contrôle de cette industrie est un enjeu qui surpasse tous les autres. Or, 37 % des puces étant à ce jour fabriquées à Taïwan, à portée des missiles et des avions chinois, les risques de conflit ouvert entre la Chine et les USA sont de plus en plus forts.


Chris Miller enseigne l’histoire internationale dans plusieurs universités américaines. Il collabore régulièrement au New York Times et au Wall Street Journal.",978-2810012015,https://m.media-amazon.com/images/I/718evWxbS4L._SY522_.jpg,L'artilleur (15 mai 2024),Chris Miller
La Finance pour les Nuls en 50 notions clés,9.95,"L'essentiel à connaître sur la finance !

La finance, est-ce la même chose que l'économie ? Ne concerne-t‑elle que les gens qui investissent en Bourse ? Quel est le rôle de la monnaie sur les marchés financiers ? En quoi la finance peut-elle menacer l'équilibre du monde ? À travers 50 notions clés, Christophe Nijdam répond à toutes les questions que vous vous posez et vous permet de comprendre les bases de la finance, en débarrassant les concepts clés du jargon qui les rend habituellement inaudibles.

50 notions dont :
• L'actualisation
• Le cash-flow
• La création de valeur
• La crise financière
• L'effet de levier
• La finance éthique",978-2412043196,https://m.media-amazon.com/images/I/61YUr5Qo1EL._SY522_.jpg,Pour les nuls (2 mai 2019),Christophe Nijdam
Maîtriser l'analyse technique avec Thami Kabbaj: 10 leçons pour gagner.,18.0,"En 10 leçons très illustrées, Thami Kabbaj donne les principes clés de l'analyse technique, et met ainsi à portée de tous les secrets de cette technique ancestrale d'analyse des cours.
De l'étude des différentes figures à leur interprétation pour bâtir une stratégie de trading, Thami Kabbaj apporte toute son expérience de professionnel pour vous permettre d'anticiper efficacement l'évolution des marchés, et de générer des gains explosifs.
Leçon n°1 : Faites comme les pros : utilisez l'analyse technique
Leçon n°2 : Apprenez à lire un graphique boursier
Leçon n°3 : Positionnez-vous avant tout dans le sens de la tendance dominante",978-2212549560,https://m.media-amazon.com/images/I/61cjmJwlsmL._SY522_.jpg,ORGANISATION (24 mars 2011),Thami Kabbaj
"La Bourse pour les Nuls, grand format, 6e éd",16.41,"Toutes les clés pour faire fructifier son patrimoine !
Quelles sont les grandes places financières mondiales ? Comment passer un ordre en Bourse ? Quels sont les placements les plus rentables ?
Rédigé par un spécialiste de l'investissement boursier, cet ouvrage s'adresse à tous ceux qui veulent comprendre facilement le fonctionnement de la Bourse. Que vous soyez un particulier curieux ou bien un épargnant soucieux de valoriser votre patrimoine, vous trouverez les réponses à vos questions dans ce livre !

Découvrez :
Les acteurs principaux des marchés
Comment bien gérer son portefeuille
Les outils d'aide à la décision
Les nouvelles façons d'investir à l'heure du bitcoin et des réseaux sociaux
Les règles fiscales des valeurs mobilières",978-2412093979,https://m.media-amazon.com/images/I/51GRBEwVyiL._SY522_.jpg,Pour les nuls; 6e édition (18 avril 2024),Gérard Horny
Le petit livre pour investir avec bon sens,15.0,"Présentation des astuces pour avoir un portefeuille d'actions et en tirer profit.
""Un fonds indiciel à bas coût est le placement en actions le plus raisonnable pour la grande majorité des investisseurs. Mon mentor, Ben Graham, a choisi cette position il a déjà plusieurs années de cela et tout ce que j'ai vu depuis m'a convaincu de cette vérité. Dans ce livre, John Bogie vous explique pourquoi.""
Warren E. Buffett, président de Berkshire Hathaway
""L'ouvrage de John Bogie apporte une précieuse contribution aux investisseurs. Le danger pour ces derniers est de croire en toutes sortes d'absurdités. Ceux qui combattent ces absurdités sont particulièrement utiles lorsque, comme Bogie, ils ne baissent jamais les bras face à la sottise.""
Charles T. Munger, Vice-président de Berkshire Hathaway",978-2909356716,https://m.media-amazon.com/images/I/615J4R-FtfL._SY522_.jpg,VALOR (29 mai 2008),John C. Bogle
Analyse technique des marchés financiers,17.03,"L'analyse technique des marchés financiers présente et met à jour les connaissances contenues dans le classique de Murphy Technical Analysis of the Futures Markets.
Complété de 400 graphiques qui clarifient tous les points abordés, le livre couvre :
Les fondements de l'analyse graphique et de la construction de graphiques
Tout ce que vous devez savoir sur les tendances et les pierres d'angle de l'analyse technique
Les configurations de prix, y compris les principales configurations de renversement et de continuation
Les différentes méthodes d'analyse moyennes mobiles, oscillateurs, opinion contraire et autres
Les cycles temporels, les relations inter-marchés, le money management, et les tactiques de trading.",978-2909356273,https://m.media-amazon.com/images/I/51pjvynW56L._SY522_.jpg,VALOR (1 janvier 2004),John J. Murphy
"Je me mets à la bourse pour les Nuls : Livre sur la bourse, Découvrir les bases du marché de la finance et de l'analyse financière, Apprendre à investir en bourse de manière intelligente",11.5,"Découvrez les bases pour placer votre argent en Bourse !
DÉCOUVREZ L'UNIVERS DE LA BOURSE :

Vous avez envie de comprendre ce qu'est la Bourse, à quoi ça sert et comment ça fonctionne ? Vous vous demandez s'il ne serait pas judicieux d'y mettre une partie de votre épargne ? Vous avez déjà placé de l'argent en Bourse et éprouvez maintenant le besoin d'affiner vos connaissances ? Comment faut-il s'y prendre, où s'adresser, combien faut-il mettre, quelles précautions prendre pour ne pas risquer de tout perdre ?

Ce livre Je me mets à la bourse pour les Nuls répond de façon simple et claire à toutes vos questions, et bien d'autres. Que vous soyez un particulier curieux, un néophyte impatient de voir son patrimoine fructifier ou un épargnant soucieux de valoriser son capital, tout ce que vous devez savoir se trouve dans ce livre",978-2412078358,https://m.media-amazon.com/images/I/51-9eptiDwL._SY522_.jpg,Pour les nuls; Illustrated édition (25 août 2022),Gérard Horny
