Nom,Prix,Description,Isbn,Photo,Editeur,Auteur
Les Origines du conflit israélo-arabe (1870-1950),14.97,"La genèse du conflit israélo-arabe, dont l'actualité est surabondamment couverte par les médias, demeure paradoxalement mal connue. Si c'est au sortir de la Première Guerre mondiale que se cristallise ce qui n'est pas seulement le choc de deux nationalismes, mais un affrontement culturel recouvert par un conflit « religieux » et d'innombrables polémiques sur la nature du projet sioniste, c'est bien avant 1914 qu'il a pris forme dans le discours à la fois des élites arabes, de la vieille communauté juive séfarade et des sionistes d'Europe orientale. Ces discours, dominés par la propagande, Georges Bensoussan montre qu'ils sont à mille lieues d'une véritable connaissance historique. Ce faisant, il met en lumière l'importance de la dimension culturelle et anthropologique dans la connaissance d'un conflit dont aucun des schémas explicatifs classiques - du nationalisme au colonialisme en passant par l'impérialisme - n'est véritablement parvenu à rendre compte.",978-2130794899,https://m.media-amazon.com/images/I/61dSfv-61OL._SY522_.jpg,QUE SAIS JE (18 janvier 2023),Georges Bensoussan
"LE TOUR DU MONDE EN 80 JEUX ! Cahier d'activités 8 ans à 12 ans Tout en couleur Grand Format: Une aventure immersive passionnante pour découvrir, ... ! Adapté au programme primaire du CE2 CM1 CM2",8.65,"PLUS QU'UN SIMPLE CAHIER D'ACTIVITE, UNE AVENTURE ORIGINALE OU VOTRE ENFANT DECOUVRIRA DE NOUVELLES CULTURES, ABORDERA DE NOUVELLES CONNAISSANCES ET REVISERA TOUT EN S'AMUSANT LOIN DES ECRANS !
Plus exigeant qu'un simple cahier d'activités, UNE HISTOIRE joue le fil conducteur entre des activités ultra variées!

LE SYNOPSIS:
Le cahier s'ouvrira sur la rencontre de KIWI, un perroquet, très bavard, joueur et attachant, qui, après les présentations proposera à votre enfant de l'aider à réaliser un de ses plus grand rêve ! S'en suivra un voyage autour du monde qui passera par la découverte des 5 continents !",979-8842596676,https://m.media-amazon.com/images/I/71rCsvea6tL._SY522_.jpg,Independently published (27 juillet 2022),Ma petite librairie Arc en ciel
The 48 Laws of Power (Anglais),9.67,"THE MILLION COPY INTERNATIONAL BESTSELLER

'If power is your ultimate goal, this is the book you need' The Times

Amoral, cunning, ruthless, and instructive, this piercing work distils three thousand years of the history of power into forty-eight well-explicated laws. As attention-grabbing in its design as it is in its content, this bold volume outlines the laws of power in their unvarnished essence, synthesizing the philosophies of Machiavelli, Sun-tzu, Carl von Clausewitz, and other great thinkers.

Some laws require prudence (""Law 1: Never Outshine the Master""), some stealth (""Law 3: Conceal Your Intentions""), and some the total absence of mercy (""Law 15: Crush Your Enemy Totally""), but like it or not, all have applications in real-life situations.

Illustrated through the tactics of Queen Elizabeth I, Henry Kissenger, P T Barnum, and other famous figures who have wielded - or been victimised by - power, these laws will fascinate any reader interested in gaining, observing or defending against ultimate control.",978-1861972781,https://m.media-amazon.com/images/I/61J3Uu4jOLL._SY522_.jpg,Profile Books Ltd; Main édition (20 novembre 2000),Robert Greene
"Peau noire, masques blancs",7.0,"Un éclairage essentiel sur le racisme et les rapports de domination
La décolonisation faite, cet essai de compréhension du rapport Noir-Blanc a gardé toute sa valeur prophétique : car le racisme, malgré les horreurs dont il a affligé le monde, reste un problème d’avenir.
Il est ici abordé et combattu de front, avec toutes les ressources des sciences de l’homme et avec la passion de celui qui allait devenir un maître à penser pour beaucoup d’intellectuels du tiers monde.
""Un livre qui ne revendique aucune méthode, non théorique, basé sur une expérience subjective : celle d’un homme qui se découvre Noir dans le regard d’un Blanc. Comment sortir de l'assignation par la couleur de la peau ?",978-2757841686,https://m.media-amazon.com/images/I/71A8lSYhlGL._SY522_.jpg,POINTS (9 avril 2015),Frantz Fanon
The Goths,13.46,"The volume is divided into three parts, corresponding to the three main phases in Gothic history: their early history down to the fourth century, the revolution in Gothic society set in motion by the arrival of the Huns, and the history of the Gothic successor states to the western Roman Empire. At its heart lies a new vision of Gothic identity, and of the social caste by whom it was defined and transmitted.",978-0631165361,https://m.media-amazon.com/images/I/61Z6wX6HnBL._SY522_.jpg,Wiley-Blackwell (26 décembre 1996),Peter Heather
De l'inégalité parmi les sociétés: Essai sur l'homme et l'environnement dans l'histoire,6.15,"Pourquoi une telle domination de l'Eurasie dans l'histoire ? Pourquoi ne sont-ce pas les indigènes d'Amérique, les Africains et les aborigènes australiens qui ont décimé, asservi et exterminé les Européens et les Asiatiques ?L'inégalité dans la répartition des richesses entre les sociétés est liée aux différences de milieux, pas aux différences génétiques.Mobilisant des disciplines aussi diverses que la génétique, la biologie moléculaire, l'écologie des comportements, l'épidémiologie, la linguistique, l'archéologie et l'histoire des technologies, Jared Diamond montre notamment : - le rôle de la production alimentaire (c'est-à-dire la domestication des plantes et des animaux sauvages, puis l'augmentation des vivres par l'agriculture et l'élevage, qui permet d'entretenir des bureaucraties et des artisans spécialisés dans la production des armes) ;- l'évolution des germes caractéristiques des populations humaines denses favorisées par la révolution agricole (les germes eurasiens ont tué plus d'indigènes américains et non eurasiens que les fusils ou les armes d'acier des Eurasiens) ;- le rôle de la géographie dans la diffusion contrastée de l'écriture et de la technologie, selon la latitude en Eurasie, mais la longitude aux Amériques et en Afrique.À l'ère de la globalisation, Jared Diamond nous propose opportunément cet essai, en tout point singulier, sur l'origine et les fondements de l'inégalité parmi les sociétés.",978-2070347506,https://m.media-amazon.com/images/I/71QkQf2uudL._SY522_.jpg,FOLIO ESSAIS (27 septembre 2007),Jared Diamond
Au commencement était...: Une nouvelle histoire de l'humanité,8.72,"Voici l'édition Poche collector du grand livre de davdi Graeber et David Wengrow. Depuis des siècles, nous nous racontons sur les origines des sociétés humaines et des inégalités sociales une histoire très simple. Pendant l’essentiel de leur existence sur terre, les êtres humains auraient vécu au sein de petits clans de chasseurs-cueilleurs. Puis l’agriculture aurait fait son entrée, et avec elle la propriété privée. Enfin seraient nées les villes, marquant l’apparition non seulement de la civilisation, mais aussi des guerres, de la bureaucratie, du patriarcat et de l’esclavage. Ce récit pose un gros problème : il est faux.",979-1020924636,https://m.media-amazon.com/images/I/41+ZEkjBpsL._SY522_.jpg,Les Liens qui Libèrent (8 novembre 2023),David Graeber
Une (très) brève histoire de la vie sur Terre,22.9,"L’histoire est palpitante. C’est la nôtre. Premier obstacle : le feu. Il y a 4,6 milliards d’années, notre planète était un océan de lave, sans cesse percutée par d’autres astéroïdes, au point de projeter une partie de la Terre dans l’espace. C’est pourquoi elle fut d’abord entourée d’anneaux comme Saturne !
Puis vint un autre obstacle : la glace. Lorsque la Terre refroidit, la vapeur se condensa et il plut pendant des millions d’années, suffisamment longtemps pour créer des bassines d’eau – les océans.
Henry Gee réussit le pari fou de raconter la naissance de la Terre, des premières cellules, des dinosaures jusqu’à l’hégémonie de l’Homo sapiens, avec la précision du scientifique mais aussi l’enchantement du conteur.
Résultat : une mine de découvertes sensationnelles. Par exemple, ce sont les grands-mères qui ont sauvé notre espèce. Contrairement aux autres animaux, les bébés humains sont incapables de se débrouiller seuls, alors nous avons appris à vivre passé l’âge de procréer, afin de les élever. Ce sont les groupes dont les femmes ménopausées s’occupaient des enfants qui survécurent !
On apprend aussi que l’évolution n’a été possible qu’au prix de cataclysmes : ce sont les météorites, les éruptions volcaniques et l’extinction des espèces qui ont poussé la vie vers la persévérance. Pour qu’il y ait vie, il fallait la survie.
C’est ainsi qu’Henry Gee fait de l’histoire de la Terre une épopée passionnante et parfois poétique. Qui aimera lire ce livre ? Tout le monde ! C’est le biologiste Jared Diamond, prix Pulitzer 1998, qui le dit.",978-2709672771,https://m.media-amazon.com/images/I/818pvT5U2hL._SY522_.jpg,JC Lattès (13 mars 2024),Henry Gee
The Ethnic Cleansing of Palestine,13.8,"The book that is providing a storm of controversy, from ‘Israel’s bravest historian’ (John Pilger)

Renowned Israeli historian, Ilan Pappe's groundbreaking book revisits the formation of the State of Israel. Between 1947 and 1949, over 400 Palestinian villages were deliberately destroyed, civilians were massacred and around a million men, women, and children were expelled from their homes at gunpoint.

Denied for almost six decades, had it happened today it could only have been called ""ethnic cleansing"". Decisively debunking the myth that the Palestinian population left of their own accord in the course of this war, Ilan Pappe offers impressive archival evidence to demonstrate that, from its very inception, a central plank in Israel’s founding ideology was the forcible removal of the indigenous population. Indispensable for anyone interested in the current crisis in the Middle East.",978-1851685554,https://m.media-amazon.com/images/I/71JBowYUxsL._SY522_.jpg,Oneworld Publications; Reprint édition (1 septembre 2007),Ilan Pappe
Tout le semestre 1 en fiches mémos - DEI IFSI - 6e édition - Révision et entraînement,15.9,"Dans cet ouvrage, 190 fiches mémos pour retenir et réviser l’essentiel des connaissances du semestre 1 du DEI : UE 1.1 ; 1.3 ; 2.1 ; 2.2 ; 2.4 ; 2.10 ; 2.11 ; 3.1 ; 4.1

> De très nombreux schémas et tableaux pour illustrer les fiches, aller à l'essentiel et mieux mémoriser.

> Un ouvrage enrichi d'évaluations pour se tester.

> Retrouvez sur notre site tous les corrigés détaillés des évaluations dans ""Compléments et ressources numériques"".

Tout le semestre est la collection idéale pour réviser par semestre et réussir son diplôme !

Pensez aussi à Tout le semestre 1 en QCM et QROC pour être au top le jour J.",978-2216164493,https://m.media-amazon.com/images/I/71bCmfB5uCL._SY522_.jpg,Foucher; 6e édition (10 août 2022),Kamel Abbadi
