Nom,Prix,Description,Isbn,Photo,Editeur,Auteur
"The Little Book of Stoicism: Timeless Wisdom to Gain Resilience, Confidence, and Calmness",16.75,"“How long are you going to wait before you demand the best for yourself?”
– Epictetus, Stoic philosopher
Where can you find joy? Gain strength? How should we face our fears? Deal with the death of a loved one? And what about those reoccurring depressing thoughts?
While traditional schooling doesn’t address such questions, it’s exactly what ancient schools of philosophy were all about: They taught you how to live. Even though these schools don’t exist anymore, you and I and most people are in as much need of a philosophy that guides us through life as we ever were.
This compelling, highly actionable guide shows you how to deal more effectively with whatever life throws at you and live up to your best self.",978-3952506905,https://m.media-amazon.com/images/I/71uOhcp68bL._SY522_.jpg,Jonas Salzgeber (19 janvier 2019),Jonas Salzgeber
"The Little Book of Stoicism: Timeless Wisdom to Gain Resilience, Confidence, and Calmness",16.75,"“How long are you going to wait before you demand the best for yourself?”
– Epictetus, Stoic philosopher
Where can you find joy? Gain strength? How should we face our fears? Deal with the death of a loved one? And what about those reoccurring depressing thoughts?
While traditional schooling doesn’t address such questions, it’s exactly what ancient schools of philosophy were all about: They taught you how to live. Even though these schools don’t exist anymore, you and I and most people are in as much need of a philosophy that guides us through life as we ever were.
This compelling, highly actionable guide shows you how to deal more effectively with whatever life throws at you and live up to your best self.",978-3952506905,https://m.media-amazon.com/images/I/71uOhcp68bL._SY522_.jpg,Jonas Salzgeber (19 janvier 2019),Jonas Salzgeber
Mon rendez-vous avec moi-même – Découvre ta vraie nature: le livre de remplissage ultime avec des exercices passionnants et des découvertes étonnantes sur toi-même,11.95,"Ce livre veut t'inviter à un rendez-vous.

Cependant, le rendez-vous ne doit pas être un rendez-vous ordinaire entre deux personnes. Ce rendez-vous doit être un rendez-vous avec toi-même. Tu vas découvrir des aspects de toi qui sont restés cachés pendant longtemps. Tu vas prendre conscience de tes souhaits et de tes rêves. Tu pourras mieux te comprendre et mieux comprendre ta vie.

Tu commences le voyage le plus important de ta vie : Le voyage à la découverte de soi. Tu vas redécouvrir la personne qui est en toi et t'amuser beaucoup en même temps.

Celui qui ne se connaît pas lui-même est perdu. Celui qui ne s'aime pas lui-même ne peut pas vraiment aimer les autres. Il n'est pas égoïste de passer du temps avec soi-même. Oublie un instant le stress de la vie quotidienne.",979-8353510628,https://m.media-amazon.com/images/I/51u9ZDJdVfL._SY522_.jpg,Independently published (18 septembre 2022),Sofia Rouxel
On ne peut pas plaire à tout le monde: Un livre sur la confiance en soi,13.99,"Détachez-vous du regard des autres et libérez votre véritable personnalité !

Et si je vous disais que peu importe votre physique, vos actions, vos décisions, vous serez toujours critiqué ? Que même si vous étiez parfait, certains persisteraient à vous juger ?

Peur, abandon, regrets…

Le manque de confiance en soi empêche énormément de personnes de s’épanouir et de s’accomplir. La plupart du temps, les gens s’oublient pour faire plaisir au plus grand nombre. Ils vivent à travers le regard des autres et n’osent pas par peur d’être exclus, de déplaire ou de décevoir. Dans ce livre, vous apprendrez comment vous défaire de l’opinion des autres.",979-8405475813,https://m.media-amazon.com/images/I/71SyaZ0-COL._SY522_.jpg,Independently published (31 janvier 2022),Valentin Auwercx
Parce que tu le vaux bien ! Un livre plein d'amour. Pour toi.,11.95,"Parce que tu le vaux bien ! Un livre plein d'amour. Pour toi.

Ce livre te rappellera tes qualités infinies. Il te montrera que tu mérites l'amour le plus profond et le plus grand bonheur. Il te montrera que tu es unique, aimable et important pour ce monde.
Et ce, exactement tel que tu es. N'oublie jamais cela, même dans les moments difficiles de ta vie.

Le livre se compose de quatre chapitres : le bonheur, l'amour-propre, la reconnaissance et la pleine conscience. A chacun de ces thèmes, tu trouvera un magnifique recueil de pensées, d'adages et de citations, qui poussent à la réflexion et apaisent le cœur.

Cliques sur",979-8426642294,https://m.media-amazon.com/images/I/61MBvFFanBL._SY522_.jpg,Independently published (4 mars 2022),Delphine Auclair
"REPROGRAMMATION MENTALE: Les techniques de la psychologie du succès pour lever vos blocages mentaux, vous forger un mental de fer et atteindre vos objectifs",16.49,"Découvrez comment éliminer vos blocages mentaux négatifs et attirer le succès dans votre vie.



Vos croyances et votre façon de penser influencent constamment votre réalité.

Et le résultat est que dans votre vie, vous attirez ce à quoi vous croyez (et non ce que vous voulez).

Si, par exemple, votre désir est de vous marier et de fonder une famille mais que vous pensez inconsciemment que les relations ne sont qu'une arnaque alors vous n'arriverez tout simplement jamais à rien (et vous finirez par n'attirer que des arnaques), parce que c'est ce que vous croyez vraiment.

Que vous le vouliez ou non, votre état d'esprit n'attirera que des personnes et des situations en accord avec votre pensée.

Mais voici maintenant la bonne nouvelle :",979-8840743171,https://m.media-amazon.com/images/I/61UyzumWs2L._SY522_.jpg,Independently published (14 juillet 2022),Robert Mercier
"The Little Book of Stoicism: Timeless Wisdom to Gain Resilience, Confidence, and Calmness",16.75,"“How long are you going to wait before you demand the best for yourself?”
– Epictetus, Stoic philosopher
Where can you find joy? Gain strength? How should we face our fears? Deal with the death of a loved one? And what about those reoccurring depressing thoughts?
While traditional schooling doesn’t address such questions, it’s exactly what ancient schools of philosophy were all about: They taught you how to live. Even though these schools don’t exist anymore, you and I and most people are in as much need of a philosophy that guides us through life as we ever were.
This compelling, highly actionable guide shows you how to deal more effectively with whatever life throws at you and live up to your best self.",978-3952506905,https://m.media-amazon.com/images/I/71uOhcp68bL._SY522_.jpg,Jonas Salzgeber (19 janvier 2019),Jonas Salzgeber
Le réel et son double: Essai sur l'illusion,19.59,Nouvelle édition revue et augmentée,978-2070327515,https://m.media-amazon.com/images/I/81xn+x1-6SL._SY522_.jpg,FOLIO ESSAIS (16 mars 1993),Clément Rosset
"L'obsolescence de l'homme : Sur l'âme à l'époque de la deuxième révolution industrielle, 1956",25.0,""" Tout le monde est d'une certaine manière occupé et employé comme travailleur à domicile. Un travailleur à domicile d'un genre pourtant très particulier. Car c'est en consommant la marchandise de masse - c'est-à-dire grâce à ses loisirs - qu'il accomplit sa tâche, qui consiste à se transformer lui-même en homme de masse. Alors que le travailleur à domicile classique fabriquait des produits pour s'assurer un minimum de biens de consommation et de loisirs, celui d'aujourd'hui consomme au cours de ses loisirs un maximum de produits pour, ce faisant, collaborer à la production des hommes de masse. Le processus tourne même résolument au paradoxe puisque le travailleur à domicile, au lieu d'être rémunéré pour sa collaboration, doit au contraire lui-même la payer, c'est-à-dire payer les moyens de production dont l'usage fait de lui un homme de masse (l'appareil et, le cas échéant, dans de nombreux pays, les émissions elles-mêmes). Il paie donc pour se vendre. Sa propre servitude, celle-là même qu'il contribue à produire, il doit l'acquérir en l'achetant puisqu'elle est, elle aussi, devenue une marchandise. "" "" Le monde comme fantôme et comme matrice """,978-2910386146,https://m.media-amazon.com/images/I/91HiSzTJpaL._SY522_.jpg,Editions de l'Encyclopédie des Nuisances; 1er édition (10 avril 2002),Günther Anders
Petit traité des grandes vertus,9.7,"Mieux vaut enseigner les vertus, disait Spinoza, que condamner les vices. Il ne s'agit pas de donner des leçons de morale, mais d'aider chacun à devenir son propre maître, comme il convient, et son unique juge. Dans quel but ? Pour être plus humain, plus fort, plus doux, plus libre. Les vertus sont nos valeurs morales, mais incarnées : toujours singulières, comme chacun d'entre nous, toujours plurielles, comme les faiblesses qu'elles combattent ou redressent. Il n'y a pas de Bien en soi. Le bien n'existe pas ; il est à faire, et c'est ce qu'on appelle les vertus. Ce sont elles que je me suis données ici pour objet : de la politesse à l'amour, dix-huit chapitres sur ces vertus qui nous manquent (mais point totalement : comment pourrions-nous autrement les penser ?), et qui nous éclairent.
A. C.-S.",978-2253257523,https://m.media-amazon.com/images/I/81-CLdv5I1L._SY522_.jpg,Le Livre de Poche (19 septembre 2018),André Comte-Sponville
