Nom,Prix,Description,Isbn,Photo,Editeur,Auteur
"Jeux et Activités pour Seniors: Activités simples pour les adultes âgés souffrant de troubles Cognitifs, de Démence ou de la maladie d'Alzheimer",13.0,"LIVRE D'ACTIVITÉS SIMPLES POUR LES AÎNÉS

Vous souhaitez améliorer la mémoire de vos proches ? S’ils aiment les jeux de puzzle et le coloriage, ce cahier d’activités est spécialement conçu pour eux.

Il propose une sélection de jeux de lettres, de mots et de chiffres visant à améliorer leur mémoire à court et à long terme.

À propos du livre :

✅ Variété d’activités pour des heures de plaisir
Mots Cachés",979-8323912469,https://m.media-amazon.com/images/I/61NPZGe7RdL._SY522_.jpg,Independently published (24 avril 2024),LULY Editions
Jeux de Mémoire pour les Seniors: Un Livre d'Activités Puzzle XXL en gros caractères qui contient 501 exercices cérébraux amusants et excitants pour ... cognitives [Le Cadeau du Senior Intelligent],14.9,"L'ORIGINAL révisé et mis à jour : Découvrez comment améliorer et maintenir de manière significative vos fonctions cognitives grâce à des puzzles et des jeux amusants et attrayants.
Ce livre est un cadeau idéal pour les personnes âgées de votre entourage.
Chaque exercice est conçu avec soin et expertise afin d'assurer un engagement mental optimal et beaucoup de plaisir.

Imaginez : vous regardez un visage familier, mais vous ne parvenez pas à vous souvenir de son nom. Imaginez à nouveau cette situation : Vous seriez sorti il y a cinq minutes si seulement vous pouviez vous rappeler où vous avez mis vos clés ! Autant de situations qui nous sont intimement familières à mesure que nous vieillissons. Et elles sont tout aussi frustrantes et déprimantes qu'elles en ont l'air.

Bien que l'on s'attende à une certaine détérioration de certaines activités cérébrales avec l'âge, toute personne qui s'investit dans ce domaine est en mesure de stopper et même d'inverser certains de ces changements ! Les activités mentalement stimulantes telles que les puzzles renforcent la santé du cerveau et inversent le déclin cognitif. Certaines de ces tâches sont directement liées à la stimulation de la neuroplasticité et permettent une plus grande flexibilité mentale.",979-8354274826,https://m.media-amazon.com/images/I/71OIDG-qa3L._SY522_.jpg,Independently published (26 décembre 2022),Gardez Votre Esprit Jeune
"Jeux Mémoire Seniors En Gros Caractères 60 Activités Pour Muscler Le Cerveau Vol.1: Pour Personnes Alzheimer (ou Atteintes de Démence, Amnésie, Parkinson) et Leurs Aidants",5.75,"Ce cahier d’activités de jeux de mémoire est conçu les personnes fragiles, atteintes de troubles cognitifs tels que Alzheimer, la démence, l’amnésie, Parkinson ou AVC.

Les exercices mémoires proposés stimuleront un large éventail de fonctions cognitives : mémoire, langage, logique, calcul, concentration…

Le niveau facile des jeux en fait aussi un cahier de jeux parfaitement adaptés aux seniors qui débutent les jeux de mémoire",979-8836751722,https://m.media-amazon.com/images/I/61IPJXU2OJL._SY522_.jpg,Independently published (18 juin 2022),MOKHAPPY
60 EXERCICES ET JEUX ADULTES ET SENIORS: vol.1 | cahier d'activités seniors pour booster la mémoire et prévenir les troubles | jeux de mémoire et de logique pour adulte et senior,13.26,"Nouvelle édition 2024.

Ce livre a été réalisé avec notre équipe pluridisciplinaire dans le plus grand soin.
Il est avant tout destiné aux personnes âgées nécessitant de la stimulation cognitive par des exercices et jeux ludiques mais peut également entrer dans un programme de rééducation cognitive suite à un AVSC, un choc cérébral, traumatisme à la tête, amnésie, maladie de Parkinson et d'Alzheimer ou maladies dégénératives.

Destiné aux seniors et adultes, ce livre sera parfait pour entretenir votre mémoire, favoriser et développer votre concentration en sollicitant vos méninges, gage d'un cerveau en bonne santé en complément d'une bonne hygiène de vie.",979-8726764825,https://m.media-amazon.com/images/I/61pSk6EsDyL._SY522_.jpg,Independently published (22 mars 2021),Ciel Bleu
"Comment analyser les gens: Comment déchiffrer le langage corporel, comprendre la psychologie comportementale et la communication non verbale afin de vous défendre contre les techniques de manipulation",7.67,"Avez-vous déjà pressenti lors d’une conversation qu’on essayait de vous dissimuler des détails ? Ou bien tout simplement que l’on vous mentait ?

Cette situation est, sans aucun doute, arrivée à 100 % d’entre nous, mais notre corps est bien plus expressif que nous le pensons. Imaginez qu’il vous soit possible de lire en quelqu’un comme dans un livre ouvert.

C’est l’art de maîtriser le langage corporel.

Une étude menée par Albert Mehrabian en 1939 a révélé que 93 % de notre communication est non verbale.",979-8864295571,https://m.media-amazon.com/images/I/61HDFkOviLL._SY522_.jpg,Independently published (29 octobre 2023),Samuel Goleman
"50 Histoires Courtes pour Seniors: Histoires avec Questions pour Stimuler La Mémoire par la Lecture et l'Écriture, en Gros Caractères",14.72,"Aidez vos parents ou grands-parents à stimuler leur mémoire grâce à des petites histoires qui parlent à leurs souvenirs, leur enfance en France, leurs voyages, des étapes marquantes de leur vie…
La lecture est une activité qui présente de nombreux bienfaits pour les seniors. Beaucoup d’entre eux aiment se divertir à travers la lecture. Mais certaines personnes âgées finissent par délaisser cette activité suite à des troubles liés à la mémoire souvent accompagnés d’une baisse de la vue.
Ce livre a pour vocation de :
✧Stimuler la mémoire à court terme
✧Faciliter la lecture
✧Aider à la concentration
✧Favoriser la réminiscence de souvenirs lointains
✧Encourager la communication avec son entourage
✧Proposer une activité distrayante et stimulante",979-8358610842,https://m.media-amazon.com/images/I/61ieezTYDAL._SY522_.jpg,Independently published (18 octobre 2022),Editions Layke
60 Pages d’Activités et Jeux Spécial Seniors: Cahier d’exercices multi-jeux en gros caractères pour seniors et personnes âgées - Stimuler la mémoire et les fonctions cognitives,17.98,"Ce cahier d'activités multi-jeux est idéal pour les seniors qui veulent entretenir leur mémoire et booster leurs fonctions cognitives : perception, attention, concentration, mémorisation. 🔎 Pour le confort visuel, les polices d'écriture sont en gros caractères et les exercices en couleurs.
✅ Un cahier recommandé pour les personnes souffrant de troubles des fonctions cognitifs comme la maladie d’Alzheimer ou la démence ou pour une rééducation de ces fonctions suite à un AVC.
✅ Un support pratique pouvant faciliter le travail de proche-aidant",979-8839396142,https://m.media-amazon.com/images/I/61U2wLNxi7L._SY522_.jpg,Independently published (3 juillet 2022),Editions Layke
Histoires Courtes Livre Gros Caractères 20 Récits Tome 1: Pour Personnes Âgées Adultes Malvoyants. Mise En Page Adaptée. Facile à lire. Idéal pour Stimuler La Mémoire pour Seniors ou Malades Alzheimer,18.07,"Découvrez ce livre de 20 histoires courtes en très gros caractères, conçu pour offrir une expérience de lecture confortable et agréable aux adultes malvoyants et personnes âgées.
📖 Comparativement à la mise en page habituelle d’un livre, ce recueil 20 histoires Courtes en Gros Caractères a une mise en page spécialement conçue pour un confort de lecture optimum :
La taille des lettres est de 18 (la taille de police habituelle d'un roman classique varie entre 10 et 12)
L’interlettrage (espace entre les lettres) est plus important
L'interlignage (espace entre les lignes) est augmenté
Les paragraphes sont plus espacés",979-8390122464,https://m.media-amazon.com/images/I/71yIXbj1zAL._SY522_.jpg,Independently published (5 avril 2023),Mokhappy
Alzheimer et odorat: quand les aromes restaurent la mémoire,21.0,"Quand les arômes restaurent la mémoire
95 % des personnes souffrant de la maladie d'Alzheimer présentent une perte d'odorat. En stimulant naturellement certaines régions du cerveau, qui génèrent la mémoire et les émotions, on peut limiter l'apparition des premiers symptômes. Pour restaurer le système olfactif l'auteur propose le retour à l'alimentation crue couplée aux huiles essentielles dont le parfum va stimuler la mémoire en allant directement dans le bulbe olfactif.",978-2813222510,https://m.media-amazon.com/images/I/61NnZymkI5L._SY522_.jpg,Les éditions Trédaniel (10 mars 2020),Jean-Pierre Willem
Ma victoire sur Parkinson: Déjouer Parkinson : mon parcours de guérison,12.43,"""Avril 2012. Pour mon soixante-cinquième anniversaire, mon neurologue me diagnostique la maladie de Parkinson, avec une fin de scénario bien morne. Un super cadeau..."" Refusant de subir, Jean-Claude Prévost ne s'est pas arrêté à ce pronostic définitif. La médecine conventionnelle ne lui offrant aucune perspective de guérison, le voici avec une activité imprévue de retraité : l'étude du vieillissement cérébral. Avec méthode, il a cherché les causes de la maladie et exploré des approches thérapeutiques alternatives telles que la désacidification, l'homéopathie, l'argent colloïdal, la phytothérapie, et bien d'autres. En racontant son expérience, il montre la voie à tous ceux qui sont disposés à s'ouvrir à de nouveaux schémas de pensée. Ne faisant aucune promesse, il décrit précisément son chemin vers la guérison, et de quelle manière il continue aujourd'hui à l'entretenir. Comprenant qu'un dépistage précoce, une médecine de bon sens et une alimentation appropriée peuvent stopper très sérieusement la dégénérescence, il souhaite partager ses connaissances par son témoignage. Aujourd'hui, cela fait plus de trois ans que sa maladie de Parkinson est silencieuse. Il n'a pas baissé les bras et a cru à l'incroyable. Il ne tient qu'à nous de suivre le chemin qu'il a défriché.",978-2849391815,https://m.media-amazon.com/images/I/81iuoD-PncL._SY522_.jpg,MOSAIQUE SANTE (12 janvier 2021),Jean-claude Prevost
