Nom,Prix,Description,Isbn,Photo,Editeur,Auteur
Le Japon - 111 faits incroyables sur le Japon: Découvertes et curiosités d’un pays fascinant,11.71,"Fasciné par le Japon et ses secrets bien gardés ? Avez-vous déjà rêvé de découvrir les trésors cachés de ce pays d'une richesse culturelle incroyable ?

Plongez dans ""111 faits incroyables sur le Japon : Découvertes et curiosités d'un pays fascinant"", un voyage inoubliable à travers la culture, les traditions et les paysages à couper le souffle du Japon. De la forêt mystérieuse d'Aokigahara aux sanctuaires shinto, en passant par les concerts de robots et les îles aux lapins, chaque page vous emmène dans une aventure surprenante.

Imaginez vous déambulant dans les ruelles animées de Tokyo, partageant un moment de quiétude dans les onsens, ou savourant la beauté des cerisiers en fleurs... Grâce à ce livre, vous pouvez",979-8396980167,https://m.media-amazon.com/images/I/71ZinAibFRL._SY522_.jpg,Independently published (2 juin 2023),111 FunFacts
Le quiz avec 365 questions passionnants pour entraîner la mémoire des seniors: Mode lecture inclus avec deux niveaux de difficulté en gros caractères [Le Cadeau du Senior Intelligent],12.9,"Découvrez le monde fascinant de l'entraînement mental pour les seniors dans notre remarquable livre-quiz !

Vous êtes contact avec des personnes âgées ayant une mémoire déclinante dans le cadre de votre travail ou de votre vie privée ? Vous souhaitez entrainer leurs mémoires, et par la même occasion la vôtre ? Alors ce livre est fait pour vous ! Mais qui sera incollable ? Vous aurez peut-être des surprises !

En proposant 365 questions de quiz soigneusement sélectionnées avec un mode de lecture efficace en deux étapes, nous vous proposons d´entrainer la mémoire des séniors de manière ludique, mais aussi très efficace !

Conçu pour des lecteurs comme vous, ce livre est un outil précieux pour aider les seniors à exercer leur mémoire. Les questions comportent différents niveaux de difficulté afin de s'adapter aux capacités de chacun et d'éviter le surmenage ou le déclin de la mémoire . Le système de questions à deux niveaux favorise en outre le sentiment de réussite et maintient la motivation à un niveau élevé. Le livre offre suffisamment de place pour des notes personnelles afin de consigner les progrès et les succès. La présentation claire, avec des éléments graphiques attrayants et de gros caractères, assure une expérience de lecture agréable lors des quiz.",979-8853098350,https://m.media-amazon.com/images/I/61agDYtcd8L._SY522_.jpg,Independently published (9 août 2023),Gardez Votre Esprit Jeune
Jeux Mémoire Sénior pour Booster sa Mémoire: Livre d'activités séniors pour booster votre mémoire grâce à des multi-jeux pour sénior. Jeux et exercices de stimulations variés. GROS CARACTERES !,5.24,"CAHIER DE JEUX ET ACTIVITÉS DE MÉMOIRE SENIOR

Vous souhaitez entretenir votre mémoire et stimuler votre cerveau de manière ludique ? Ou bien vous êtes à la recherche d'une activité enrichissante pour votre mamie ?
Ce cahier d'activités est fait pour vous !

Conçu spécialement pour les seniors, ce cahier propose une variété d'exercices pour tous les niveaux, du plus facile au plus difficile. Vous pourrez ainsi vous challenger et progresser à votre rythme, tout en vous amusant.

Grande variété d'exercices et jeux !
Ces exercices cérébraux se veulent ludiques, diversifiés et à la portée de tous.
Les activités proposées sont variées et couvrent des domaines tels que la logique, la mémoire, les jeux de lettres, les chiffres et bien plus encore !",979-8379396916,https://m.media-amazon.com/images/I/71-SFWp3RwL._SY522_.jpg,Independently published (2 mars 2023),Editions Vetillard
"100 faits incroyables sur le Canada: Une collection des faits les plus surprenants, les plus insolites et les plus incroyables",18.57,"Êtes-vous prêt pour un périple fascinant et déconcertant ?

""100 faits INCROYABLES sur le Canada"" vous emmène dans une aventure unique à travers les secrets bien gardés du pays du Grand Nord.

Des récits historiques captivants aux prouesses technologiques, en explorant la diversité géographique exceptionnelle et les particularités de la vie quotidienne, ce livre vous plonge dans un Canada à la fois magnifique et méconnu.

Vous pensiez tout connaître ? Préparez-vous à être surpris !

N'attendez plus ! Enrichissez vos connaissances et laissez-vous étonner par les merveilles du Canada.",979-8398182606,https://m.media-amazon.com/images/I/71dJ2JBc9lL._SY522_.jpg,Independently published (13 juin 2023),Terre Rare
Grand Sud Marocain,16.64,"Charles Kerivel parcourt depuis plus de vingt ans le Grand Sud marocain : d'abord Marrakech, la ville rose, qui ouvre ses portes sur l'Atlas, puis les gorges du Dadès et du Todra, les plaines du Tafilalet et l'immense Djbel Saghro, Zagora et les premières dunes de sable, jusqu'à la magnifique vallée du Draa. Il retranscrit ses rencontres avec les tribus Aït Haddidou du Haut Atlas, celles des Aït Yazza et des Aït Brahim et la grande histoire orale des tribus berbères Aït Atta. En termes de transparence et de lumière, il rend compte de la fragilité de l'instant et de la souveraine évidence du beau...",978-2742414338,https://m.media-amazon.com/images/I/51H3AMR9EKL.jpg,Gallimard Loisirs (28 octobre 2004),Charles Kerivel
"80 JEUX ET ACTIVITÉS pour adultes et séniors: Grand livre d'exercices et de créativité permettant de stimuler le cerveau, booster la mémoire et la ... pour grand-mère, grand-père, papy, mamie",17.52,"LIVRE D'ACTIVITÉS AVEC 80 JEUX ET SOLUTIONS - POUR SENIORS :
Au fil des pages, vous allez découvrir différents types de jeux conçus pour passer de bons moments et aussi dans le but de stimuler votre cerveau. Il est important et recommandé de faire régulièrement des exercices de mémorisation et de concentration pour entretenir une stimulation cognitive.
Vous y trouverez des jeux divers et variés tels que : des mots mêlés, des Sudokus, des quiz de culture générale, des mots croisés, des jeux de logique, de calculs et aussi des pages de coloriage, des énigmes, des labyrinthes...

NOUS VOUS SOUHAITONS DE BIEN VOUS AMUSER ! 😀

🎁 Idée de cadeau à offrir à un proche à l'occasion d'un anniversaire, fêtes de Noël aussi pour la fête des grands-mères, des grands-pères...


/Suite au commentaire posté sur la petite faute d'orthographe, nous en avons tenu compte et celle-ci est corrigée /",979-8830827591,https://m.media-amazon.com/images/I/71uaSeViWqL._SY522_.jpg,Independently published (20 mai 2022),Charlie Plume
"100 faits incroyables sur l'Afrique du Sud: Une collection des faits les plus surprenants, les plus insolites et les plus incroyables",8.01,"Vous aimez voyager, visiter et découvrir ?
Vous pensiez tout savoir sur l’Afrique du Sud ?
Vous attendez qu’une chose, c’est d’être surpris ?
Ce livre est exactement ce qu'il vous faut !
Il réunit 100 faits sur l’Afrique du Sud qui vont littéralement vous surprendre…

Plongez directement dans les faits les plus surprenants, les plus insolites et les plus incroyables de cette nation arc-en-ciel !
Chaque chapitre vous livre tous les secrets de ce pays… Vous en saurez davantage sur l’esprit de ses habitants, son Histoire, ses traditions, sa géographie singulière et ses plus grandes prouesses technologiques.",979-8857726334,https://m.media-amazon.com/images/I/71hDAtZsY7L._SY522_.jpg,Independently published (16 août 2023),Terres Rares
AFRIQUE EN LUMIERE: Une Odyssée Culturelle. Livre sur l'Afrique,13.18,"AFRIQUE EN LUMIERE
Une Odyssée Culturelle

Plongez dans un voyage extraordinaire à travers les richesses culturelles de l'Afrique avec ""Afrique en Lumière : Une Odyssée Culturelle"". Ce livre vous offre une immersion profonde et captivante dans l'incroyable diversité culturelle du continent africain.
À travers des pages vibrantes de couleurs, de sons et de saveurs, vous découvrirez :
Un Héritage Ancien : Explorez les civilisations anciennes qui ont laissé une empreinte indélébile sur l'histoire de l'Afrique, des pyramides majestueuses de l'Égypte aux grandes cités du royaume du Mali.",979-8862179798,https://m.media-amazon.com/images/I/71ndeO7aGbL._SY522_.jpg,Independently published (22 septembre 2023),Helene Piquet
WAS IST WAS Rätseln und Stickern: Europa,11.36,,978-3788621650,https://m.media-amazon.com/images/I/810EkZXfjIL._SY522_.jpg,Tessloff Verlag (10 mars 2016),Anja Kunze
Entscheidung in Kiew: Ukrainische Lektionen | Der SPIEGEL-Bestseller in aktualisierter und erweiterter Neuausgabe,15.77,,978-3596709700,https://m.media-amazon.com/images/I/71gMf+tx+aL._SY522_.jpg,"FISCHER Taschenbuch; 2. Auflage, Neuausgabe (30 août 2023)",Karl Schlögel
