Nom,Prix,Description,Isbn,Photo,Editeur,Auteur
Le choc des civilisations,13.5,"Menacé par la puissance grandissante de l'islam et de la Chine, l'Occident parviendra-t-il à conjurer son déclin ? Saurons-nous apprendre rapidement à coexister ou bien nos différences nous pousseront-elles vers un nouveau type de conflit, plus violent que ceux que nous avons connus depuis un siècle ? Pour Samuel P. Huntington, les peuples se regroupent désormais en fonction de leurs affinités culturelles. Les frontières politiques comptent moins que les barrières religieuses, ethniques, intellectuelles. Au conflit entre les blocs idéologiques de naguère succède le choc des civilisations... Le livre qu'il faut lire pour comprendre le monde contemporain et les vraies menaces qui s'annoncent. ""Le livre le plus important depuis la fin de la guerre froide."" Henry Kissinger. ""Un tour de force intellectuel : une oeuvre fondatrice qui va révolutionner notre vision des affaires internationales."" Zbigniew Brzezinski. Samuel P. Huntington est professeur à l'Université Harvard où il dirige le John M. Olin Institute for Strategic Studies. Il a été expert auprès du Conseil national américain de sécurité, sous l'administration Carter. Il est le fondateur et l'un des directeurs de la revue Foreign Policy.",978-2738108395,https://m.media-amazon.com/images/I/71RWo59zrHL._SY522_.jpg,Odile Jacob (22 avril 2000),Samuel P. Huntington
La Société ingouvernable: Une généalogie du libéralisme autoritaire,20.0,"Dans ce livre, on apprendra notamment comment fut imaginé un nouveau « management des ressources humaines », imposé le « primat de la valeur actionnariale », formulé un « management stratégique de l’environnement social » sur fond de guerre aux « parties prenantes », remobilisée à des fins de dérégulation une « responsabilité sociale des entreprises » avec ses « codes de conduite », échafaudées, enfin, des stratégies invasives de « limitation de la démocratie » et de « détrônement de la politique », parmi lesquelles la « constitutionnalisation économique de la politique » et une « micropolitique de la privatisation ». Cette généalogie mettra aussi en lumière les racines intellectuelles méconnues d’un libéralisme autoritaire aux multiples facettes qui est à l’heure actuelle de plus en plus ostensiblement remis à l’ordre du jour.",978-2358721691,https://m.media-amazon.com/images/I/812FYQQ1DfL._SY522_.jpg,La Fabrique; 1er édition (19 octobre 2018),Gregoire Chamayou
L'Archipel français: Naissance d'une nation multiple et divisée,11.9,"L’archipel français
En quelques décennies, tout a changé. La France, à l’heure des gilets jaunes, n’a plus rien à voir avec cette nation une et indivisible structurée par un référentiel culturel commun. Or la dynamique de cette métamorphose révèle un archipel d’îles s’ignorant les unes les autres.
Le socle de la France d’autrefois, sa matrice catho-républicaine, s’est complètement disloqué. Jérôme Fourquet envisage d’abord les conséquences anthropologiques et culturelles de cette érosion. Mais, plus encore, ces mutations profondes de la nouvelle France induisent un effet d’« archipelisation » de la société tout entière : sécession des élites, autonomisation des catégories populaires, formation d’un réduit catholique, instauration d’une société multiculturelle de fait, dislocation des références culturelles communes.",978-2757886359,https://m.media-amazon.com/images/I/61xZCGnIU8L._SY522_.jpg,POINTS (8 octobre 2020),Jérôme Fourquet
Comment tout peut s'effondrer: Petit manuel de collapsologie à l'usage des générations présentes,9.9,"Est-ce la fin de notre civilisation ?
Et si notre civilisation s'effondrait ? Non pas dans plusieurs siècles, mais de notre vivant. Loin des prédictions Maya et autres eschatologies millénaristes, un nombre croissant d'auteurs, de scientifiques et d'institutions annoncent la fin de la civilisation industrielle, voire la fin des conditions propices à la vie telle que nous l'avons connue.

Pablo Servigne et Raphaël Stevens décortiquent les ressorts d'un possible effondrement et proposent un tour d'horizon pluridisciplinaire de ce sujet qu'ils nomment la « collapsologie ». Aujourd'hui, l'utopie a changé de camp : est utopiste celui qui croit que tout peut continuer comme avant. L'effondrement est l'horizon de notre génération, c'est le début de son avenir. Qu'y aura-t-il après ? Tout cela reste à penser, à imaginer, et à vivre...",978-2757868201,https://m.media-amazon.com/images/I/71iolEdat8L._SY522_.jpg,POINTS (20 mai 2021),Yves Cochet
Le savant et le politique,6.9,"La science, la politique : deux vocations profondément divergentes. L'une requiert modestie et disponibilité de l'esprit. L'autre, déchirée entre l'éthique de la conviction et l'éthique de la responsabilité, souffre d'une contradiction nécessaire qui toujours lui interdira la certitude scientifique. Telles sont les lignes directrices de cette profonde analyse, d'une urgence si actuelle à laquelle nous convie le plus grand sociologue allemand de ce siècle.",978-2264031594,https://m.media-amazon.com/images/I/61C5Gw07iqL._SY522_.jpg,10 X 18 (15 février 2002),Max Weber
Les ingénieurs du chaos,19.92,"Dans le monde de Donald Trump, Jair Bolsonaro et Matteo Salvini, chaque jour porte sa maladresse, sa polémique, son coup d'éclat. Aux yeux de leurs électeurs, les défauts des leaders populistes se muent en qualités. Leur inexpérience est la preuve qu'ils n'appartiennent pas au cercle corrompu des élites et leur incompétence, le gage de leur authenticité. Les tensions qu'ils produisent au niveau international sont l'illustration de leur indépendance et les théories du complot qui jalonnent leur propagande, la marque de leur liberté de penser. Pourtant, derrière les apparences débridées du carnaval populiste, se cache le travail acharné de spin-doctors, d'idéologues et d'experts du Big Data, sans lesquels ces leaders populistes ne seraient jamais parvenus au pouvoir. Dans ce livre, Giuliano da Empoli brosse le portrait de personnages presque tous inconnus du grand public, et qui sont pourtant en train de changer les règles du jeu politique et le visage de nos sociétés.",978-2073019240,https://m.media-amazon.com/images/I/61MPvEO7qqL._SY522_.jpg,FOLIO (16 mars 2023),Giuliano da Empoli
"La médiocratie: Précédé de Politique de l'extrême centre et suivi de ""Gouvernance"". Le management totalitaire",8.0,"Cette édition au format poche rassemble un inédit, Politique de l'extrême centre, en plus de La médiocratie et ""Gouvernance"", deux opus d'Alain Deneault qui traitent de la révolution anesthésiante à laquelle nous poussent les théories du management et la propension aux petits arrangements institutionnels qui caractérisent les dernières décennies. Parce que les glaciers fondent, parce que le désert avance, parce que les sols s'érodent, parce que les déchets nucléaires irradient, parce que la température planétaire augmente, parce qu'une majorité d'écosystèmes se délitent, parce que l'Etat social s'écroule, parce que l'économie réduite à la finance s'aliène, parce que les repères philosophiques se perdent, notre époque n'a plus le luxe de se laisser conduire à la petite semaine par les médiocres qui dominent.",978-2898331848,https://m.media-amazon.com/images/I/61N9jrWz1xL._SY522_.jpg,Lux Editeur (20 octobre 2016),Alain Deneault
Méthodologie de l'intervention en travail social. L'aide à la personne: Cette 7è edition remplace le 9782227476356,9.57,"Depuis 35 ans, par une approche globale qui prend en compte les dimensions individuelle, familiale et de groupe, ce manuel demeure la référence pour la formation aux méthodes du travail social. Traduit en plusieurs langues, il représente une contribution fondamentale à la construction internationale du travail social. Cette nouvelle édition a été révisée et actualisée en tenant compte des évolutions récentes des problématiques et des terminologies.
Parce qu'une profession n'existe pas sans un ensemble de connaissances transmissibles et un cadre conceptuel général intégrant la diversité des approches et des modèles, ce livre contient les éléments de base indispensables pour le savoir-faire professionnel (processus historique de construction de la méthodologie, liens entre travail social et sciences sociales, concepts et élaboration de la méthodologie d'intervention et étapes du processus d'intervention), tout en contribuant à la construction d'une professionnalité créative et impliquée.",978-2810906840,https://m.media-amazon.com/images/I/61Fmfkig4cL._SY522_.jpg,EHESP; 2e édition (28 juin 2018),Cristina de Robertis
Voyage en misarchie: Essai pour tout reconstruire,14.9,"Misarchie. n.f. : régime dont le principe est une réduction maximale des pouvoirs et des dominations.
Sébastien est professeur de droit. À la suite d’un accident d’avion, il se retrouve sur une terre inconnue qu’il va peu à peu découvrir et dont l’organisation politique est une forme radicale de démocratie, politique, économique et sociale : la misarchie. Une utopie politique pour penser autre société, plus libre, plus égalitaire, plus diverse.
PRÉSENTATION DE L’OUVRAGE
Emmanuel Dockès expose dans cet essai ses propositions pour repenser notre société dans tous ses aspects. Au fil de l’ouvrage, l’auteur mobilise les idées les plus progressistes et les plus audacieuses sur la monnaie, la démocratie participative, le partage du travail, la propriété d’usage, la rotation des familles, l’autogestion, la liberté d’entreprendre, les services publics, l’autodétermination…",979-1097079444,https://m.media-amazon.com/images/I/51QzNPeMEYL._SY522_.jpg,ED DETOUR (16 mai 2019),Emmanuel Dockès
La vie liquide,17.11,"La vie liquide est la vie prise dans le flux incessant de la mobilité et de la vitesse. Elle est le triomphe du consumérisme. Tout, y compris l’homme, devient objet de consommation, avec une date de péremption au-delà de laquelle il devient jetable.
Analysant les changements qui affectent l’individu, les nouveaux modes de la célébrité, les transformations de la culture ou encore la promotion de la sécurité comme valeur, l’auteur décrit ainsi la société en voie de liquéfaction avancée et avance des pistes pour imaginer un avenir plus vivable.
Ouvrage fondateur de la pensée de Zygmunt Bauman, La Vie liquide annonce les concepts qu’il déploie dans toute son œuvre et est considéré comme un livre majeur de la sociologie politique.

Zygmunt Bauman est né en Pologne en 1925. Il a enseigné la sociologie à l’université de Leeds, où il est professeur émérite. Sociologue de réputation mondiale, il a publié de nombreux ouvrages et, dans la collection « Pluriel »,",978-2818503096,https://m.media-amazon.com/images/I/81Y3FI+HZWL._SY522_.jpg,Fayard/Pluriel (16 janvier 2013),Zygmunt Bauman
