Nom,Prix,Description,Isbn,Photo,Editeur,Auteur
"CHANGER SA VIE EN 21 JOURS: La méthode pour booster votre confiance et devenir la meilleure version de vous même ! Conseils, exercices, tests, témoignages...",14.95,"Rêvez-vous d’une vie meilleure ?
Votre vie est-elle à la hauteur de vos attentes ?
Êtes-vous pleinement épanoui dans votre sphère personnelle et professionnelle ?

Vous subissez chaque jour, le cercle infernal métro-boulot-dodo, sans voir d'issue possible.
Vous ne vous sentez pas à votre place dans votre job et vous ressentez un mal-être général. Vous vous levez chaque matin avec la boule au ventre, mais vous ne savez pas comment réenchanter votre quotidien.

Rassurez-vous, vous n'êtes pas seul. Des millions de personnes sont dans votre situation.
Si vous ressentez aujourd'hui, ce désir profond de tout changer, c'est parce que",979-8708916518,https://m.media-amazon.com/images/I/71wLwfz8E4L._SY522_.jpg,Independently published (5 mai 2021),Chantal Labeste
Maîtrisez vos émotions: Guide pratique pour vaincre la négativité et mieux gérer vos émotions,16.99,"Déjà plus de 300 000 ventes dans le monde

Voulez-vous surmonter vos émotions négatives ? Sentez-vous souvent que vous pourriez mieux faire ? Avez-vous besoin d’aide pour gérer votre stress ?
Avez-vous déjà été si absorbé par vos émotions négatives que vous pensiez qu’elles ne disparaîtraient jamais ?
La solution pour faire face à la négativité est de comprendre comment vos émotions fonctionnent et d’appliquer des techniques spécifiques pour vous assurer de les gérer efficacement.
Maîtrisez vos émotions est le manuel pratique que vos parents auraient dû vous donner à la naissance. En le lisant, vous apprendrez un processus étape par étape pour traiter les émotions négatives afin d'augmenter votre bien-être et mener une vie plus heureuse. Avec des exercices pratiques et des exemples personnels, vous explorerez des techniques qui déjouent les spirales drainantes de la négativité et qui apportent un soulagement immédiat.",979-8463595232,https://m.media-amazon.com/images/I/61lOrYzO9DL._SY522_.jpg,Independently published (19 novembre 2021),Thibaut Meurisse
"Journal de Suivi de l'Humeur: Carnet Quotidien de Bien-être et de Santé Mentale pour Suivre votre Humeur, Sommeil , et Sentiments pour Soulager l'Anxiété & la Depression",8.04,"Que vous soyez aux prises avec la dépression, le stress ou que vous souhaitiez simplement être plus positif dans votre vie, vous trouverez tout ce dont vous avez besoin dans notre journal. Ce journal de suivi d'humeur vous accompagnera dans votre démarche de suivi quotidien de votre santé mentale.

Il vous aidera à mieux vous connaître et à identifier les domaines de votre vie qui vous causent le plus de chagrin, de stress ou de bonheur. Vous apprendrez à prendre soin de vous et à savoir quand il est temps de faire une pause. Vous découvrirez également comment équilibrer votre vie dans tous ses aspects et la gérer plus efficacement.",,https://m.media-amazon.com/images/I/61FUwihx5YL._SY522_.jpg,Independently published (25 novembre 2023),Hilal Creations Press
"Guérir Son Corps, Soigner Son Esprit: ALIMENTATION, NUTRITION, HERBES, MÉDECINE NATURELLE ET PENSÉES POSITIVES POUR L'INTESTIN IRRITABLE, DÉTOX DU FOIE, HORMONES, ACNÉ, ANXIÉTÉ, DÉPRESSION ET STRESS",11.31,"Élu l’un des 43 meilleurs thérapeutes du monde, auteur de 5 best-sellers, naturopathe et psychothérapeute, le Dr Ameet vous aide à régler facilement vos problèmes de santé concernant vos intestins, votre foie, vos glandes surrénales, votre dépression, votre anxiété, votre humeur, votre poids, votre peau, vos hormones, vos inflammations ainsi que vos problèmes sexuels à l’aide de votre nutrition, d’une alimentation saine, d’une médecine naturelle, de thérapie holistiques et d’une guérison émotionnelle.
Votre santé est l’un des cadeaux les plus précieux que l’on puisse vous faire. Ce livre au pouvoir holistique intense vous permettra d’améliorer rapidement votre santé, votre bonheur et votre humeur en vous aidant à traiter l’origine des maladies de votre esprit et votre corps, lesquelles sont liées à :",979-8644439393,https://m.media-amazon.com/images/I/71JeSHlGXDL._SY522_.jpg,Independently published (9 mai 2020),Dr. Ameet Aggarwal ND
Bad Therapy: Why the Kids Aren't Growing Up,24.78,"Bad Therapy, 9781800754133",978-1800754133,https://m.media-amazon.com/images/I/719mnjW2ujL._SY522_.jpg,Swift Press (29 février 2024),Abigail Shrier
La maladie de l'amour: Le TOC du couple ou ROCD,19.9,"« Et si je ne l’aimais plus ? Et si je n’éprouvais plus de désir pour lui ? Et si ce n’était pas la femme de ma vie ? Et s’il ne me convenait plus ? Et si elle n’était pas attirante ? Et s’il fallait le quitter ? Et s’il n’avait pas assez le sens de l’humour ? Et si elle n’avait pas le corps dont je rêve ? Et si j’étais homosexuelle et que je me mentais ? Toutes ces questions peuvent se poser à nous un jour ou l’autre, il n’y a rien d’extraordinaire ! Supposez maintenant que ces pensées foisonnent dans votre cerveau, qu’elles émergent à votre conscience six heures par jour ! Envisagez que ces interrogations soient empreintes d’angoisses et de mal-être permanents… Imaginez-vous lutter contre ces pensées des jours durant, vous acharner à vous prouver que vous avez choisi la bonne personne : comme s’il s’agissait de trouver la formule parfaite de l’amour, à l’instar d’une équation mathématique. Alors, le couple mute en calvaire. Le rapport à l’autre devient anxiogène, le doute est permanent et l’amour incarne l’enfer. Il est un mal invisible et peu connu en Europe qui hante les patients au quotidien, un trouble obsessionnel avec compulsions cognitives qu’on nomme TOC du couple ou ROCD.",979-8682122097,https://m.media-amazon.com/images/I/61ULJwrOIBL._SY522_.jpg,Independently published (18 septembre 2020),Rodolphe Hurlot
"Moins de plaisir, Plus de bonheur: Changer sa vie et arrêter d’être dépendant aux distractions grâce à la dopamine détox",11.91,"Reprogrammez votre cerveau grâce à la dopamine détox et retrouvez votre attention et votre motivation.

Aujourd’hui, nous consacrons la plupart de notre temps libre aux réseaux sociaux, aux plateformes de streaming, aux jeux vidéo ou à internet. La société moderne nous a rendu accro aux plaisirs fugaces et instantanés, si bien que nous sommes devenus impatients, démotivés et distraits.

Quelle est la solution pour reprendre le contrôle de notre vie et être plus épanoui au quotidien ?
Faire ce qu'on appelle uneDopamine Detox.

Toutes nos dépendances sont neurologiques. Les écrans, les jeux d’argent, la malbouffe, l’alcool, la drogue sont tout autant de sources qui génèrent de la dopamine dans notre cerveau. Si cette « molécule du plaisir » nous procure une certaine sensation de satisfaction, elle engendre aussi de nombreuses complications, modifie nos connexions neuronales et influence notre comportement.",979-8823763950,https://m.media-amazon.com/images/I/71GYj2hmS8L._SY522_.jpg,Independently published (10 mai 2022),Valentin Auwercx
The Shadow Work Journal,7.48,"Embark on a journey of self-discovery, healing and inner transformation with the new and updated smash-hit TikTok sensation and million-copy international bestseller.
Are you ready to embark on a powerful journey of self-discovery, healing and inner transformation?
The Shadow Work Journal is an empowering and compassionate tool to help you face your shadows and overcome the obstacles and limiting self-beliefs that are holding you back from achieving your true potential.",978-0008696269,https://m.media-amazon.com/images/I/71D048H5QpL._SY522_.jpg,HQ (18 janvier 2024),Keila Shaheen
Comment surmonter la peur et l'angoisse: Retrouver la sérénité et le bonheur,6.13,"Un livre instructif qui offre des enseignements issus de la tradition bouddhiste pour faire face aux émotions négatives et trouver la paix intérieure. Le livre guide les lecteurs à travers un voyage de transformation intérieure pour surmonter la peur et l'angoisse.

Le livre est structuré de manière claire et détaillé qui couvre les principaux sujets liés à la gestion des émotions négatives. Chaque chapitre offre une compréhension approfondie des émotions spécifiques et présente des pratiques bouddhistes pour les reconnaître, les comprendre et les transformer.

Les lecteurs sont introduits aux fondamentaux des émotions négatives, en comprenant leur nature et leur impact sur notre",979-8324996826,https://m.media-amazon.com/images/I/61UDpQoXGuL._SY522_.jpg,Independently published (19 mai 2024),Yunyi Piedeleu
"The Dialectical Behavior Therapy Skills Workbook: Practical DBT Exercises for Learning Mindfulness, Interpersonal Effectiveness, Emotion Regulation, and Distress Tolerance",24.19,"A clear and effective approach to learning evidence-based DBT skills-now in a fully revised and updated second edition.

Do you have trouble managing your emotions? First developed by Marsha M. Linehan for treating borderline personality disorder, dialectical behavior therapy (DBT) has proven effective as treatment for a range of other mental health problems, and can greatly improve your ability to handle distress without losing control and acting destructively.
However, to make use of these techniques, you need to build skills in four key areas: distress tolerance, mindfulness, emotion regulation, and interpersonal effectiveness.

The Dialectical Behavior Therapy Skills Workbook, a collaborative effort from three esteemed authors, offers
evidence-based, step-by-step exercises for learning these concepts and putting them to work for real and lasting change. Start by working on the introductory exercises and, after making progress, move on to the advanced-skills chapters.
Whether you're a mental health professional or a general reader, you'll benefit from this clear and practical guide to better managing your emotions.

This fully revised and updated second edition also includes new chapters on cognitive rehearsal, distress tolerance, and self-compassion. Once you've completed the exercises in this book and are ready to move on to the next level, check out the authors' new book, The New Happiness Workbook.

This book has been awarded The Association for Behavioral and Cognitive Therapies Self-Help Seal of Merit -",978-1684034581,https://m.media-amazon.com/images/I/811nY+uHCtL._SY522_.jpg,New Harbinger; Workbook édition (28 novembre 2019),Matthew McKay
