Nom,Description,Photo
,,
,,
GILLI Frédéric,,https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
,,
,,
Michael Howe,"The joys of the world, one terrible map at a time – this is the ultimate gift book for the budding geographer or anyone who wants to have a laugh.

Ever wondered about the average jean colour across the United States? Or what ‘pedestrians’ look like in Denmark? What unites Brokenwind, Upton Snodsbury and Crackpot? And have you ever tried to take a train in Antarctica? Well Terrible Maps is the book for you!

Put together by the creator behind the tremendously popular social media feed, this is the ulti",https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
Cartes Epshom,,
Tim Marshall,"Grand reporter et spécialiste des relations internationales, Tim Marshall a travaillé pour de nombreux médias : The Times, The Sunday Times, The Guardians, The Independant et The Daily Telegraph.
Il a passé 30 ans de sa vie dans 30 pays en conflits, en particulier la Croatie, la Bosnie, la Macédoine, le Kossovo, l'Afghanistan, l'Irak, le Liban, la Syrie et en Israël. Il met au cœur de ses nombreux ouvrages sur la géopolitique la façon dont la géographie contraint les dirigeants du monde et influe sur les événements mondiaux.",
,,
Patrick Mérienne,,https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
COLLECTIF,,
COLLECTIF,,
Collectif,,
Collectif,,
Collectif Michelin,,https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
Collectif,"Le Collectif : Pierre Alary, Jean-Baptiste, Andreae, Virginie Augustin, Dimitri Avramoglou, Dominique Bertail, Frédéric Bézian, Jim Bishop, Bluebirdy, Matthieu Bonhomme, Didier Cassegrain, Francesco Cattani, Christophe Chabouté, Yannick Corboz, Édouard Cour, Manuele Fior, Nicolas Gaignard, Bertrand Gatignol, Armel Gaulme, Benoît Hamet, Grazia La Padula, Stéphane Levallois, Liberatore, Julien Loïs, Milo Manara, Laureline Mattiussi, Rita Mercedes, Merwan, Mezzo, Thimothée Montaigne, Marino Neri, Sylvain Repos, Lionel Richerand, Valentin Sécher, Benoît Springer, Tommy Gun Morretti, Ronan Toulhoat, Alberto Varanda, Gaspard Yvan.",
COLLECTIF,,
Collectif,,
COLLECTIF,,
David Blanchon,"David Blanchon est géographe. Il enseigne à l'université Paris-Ouest Nanterre après avoir passé deux ans au sein de l'IRL iGlobes (CNRS-université d'Arizona) à Tucson, Arizona. Aurélie Boissière est cartographe indépendante.",https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
Collectif,,
